ÈÕÆÚ,Total Active Power/kW
2018/1/1 0:00,243785.6581
2018/1/2 0:00,232099.6895
2018/1/3 0:00,231957.6742
2018/1/4 0:00,227634.8928
2018/1/5 0:00,233586.9766
2018/1/6 0:00,224719.5006
2018/1/7 0:00,223821.5725
2018/1/8 0:00,222509.944
2018/1/9 0:00,229407.2573
2018/1/10 0:00,221271.6701
2018/1/11 0:00,221926.9662
2018/1/12 0:00,222076.0618
2018/1/13 0:00,226493.5583
2018/1/14 0:00,231763.2126
2018/1/15 0:00,218400.6963
2018/1/16 0:00,216704.6622
2018/1/17 0:00,218643.0073
2018/1/18 0:00,213023.4458
2018/1/19 0:00,214933.04
2018/1/20 0:00,219795.2724
2018/1/21 0:00,220281.4198
2018/1/22 0:00,238420.1548
2018/1/23 0:00,217621.845
2018/1/24 0:00,240956.0759
2018/1/25 0:00,224330.6468
2018/1/26 0:00,215202.197
2018/1/27 0:00,214291.962
2018/1/28 0:00,212608.1395
2018/1/29 0:00,217966.8012
2018/1/30 0:00,211521.579
2018/1/31 0:00,208846.9557
2018/2/1 0:00,211149.73
2018/2/2 0:00,212797.6144
2018/2/3 0:00,207993.1441
2018/2/4 0:00,208588.557
2018/2/5 0:00,211599.7274
2018/2/6 0:00,220255.2698
2018/2/7 0:00,215676.5386
2018/2/8 0:00,218923.0034
2018/2/9 0:00,222068.5417
2018/2/10 0:00,233307.4991
2018/2/11 0:00,246637.9029
2018/2/12 0:00,225707.2699
2018/2/13 0:00,223665.5628
2018/2/14 0:00,237712.9955
2018/2/15 0:00,230804.5642
2018/2/16 0:00,231270.088
2018/2/17 0:00,231185.878
2018/2/18 0:00,238567.308
2018/2/19 0:00,239337.038
2018/2/20 0:00,227241.2703
2018/2/21 0:00,225106.5301
2018/2/22 0:00,236346.9225
2018/2/23 0:00,223582.0825
2018/2/24 0:00,224113.9177
2018/2/25 0:00,222906.6854
2018/2/26 0:00,230998.9373
2018/2/27 0:00,221052.3737
2018/2/28 0:00,220169.5895
2018/3/1 0:00,218812.8023
2018/3/2 0:00,227620.045
2018/3/3 0:00,219123.5891
2018/3/4 0:00,216177.9844
2018/3/5 0:00,217721.5187
2018/3/6 0:00,227902.0516
2018/3/7 0:00,221975.9817
2018/3/8 0:00,226739.8192
2018/3/9 0:00,230023.9466
2018/3/10 0:00,240688.9477
2018/3/11 0:00,240688.9477
2018/3/12 0:00,
2018/3/13 0:00,
2018/3/14 0:00,
2018/3/15 0:00,
2018/3/16 0:00,
